first_name,last_name,dob,company_id,last_active,score,member_since,state
Monica,Weaver,1977/12/23,17,2018/09/19,84,1994,DE
Travis,Brown,1986/11/20,20,2018/01/25,30,2000,DC
Timothy,Garcia,1963/07/12,18,2018/08/16,97,1980,IA
Christopher,Stout,1968/10/08,1,2018/09/01,56,1995,KS
Melissa,Stewart,1983/04/24,16,2018/12/22,74,1998,AK
Richard,Santiago,1974/08/08,4,2018/11/28,43,1989,WI
Lauren,Stone,1985/10/19,1,2018/07/14,48,2003,MD
Louis,Davis,1959/01/15,12,2018/04/15,91,1972,TX
Brendan,King,1993/08/15,2,2019/01/04,78,1978,NC
Richard,Horn,1971/12/11,3,2018/01/17,58,1971,VA
Dakota,Jenkins,1966/02/08,19,2018/08/21,42,2001,NY
Steven,Sanchez,1961/10/04,4,2018/03/13,69,2010,SC
Leslie,Williams,1993/11/11,15,2018/05/15,55,1999,NV
Anna,Quinn,1980/05/05,7,2018/06/20,89,2001,MT
Cindy,Hart,1984/06/19,11,2018/03/20,57,1979,LA
Joe,Fisher,1989/07/21,0,2018/07/07,91,2012,TN
Seth,Knight,1966/05/24,9,2018/08/26,69,2008,NC
Christine,Young,1965/11/11,6,2018/12/19,85,1973,WY
Harold,Martinez,1974/03/31,9,2018/12/11,78,1976,WV
Jonathan,Andersen,1965/07/06,4,2018/12/28,33,2015,RI
Susan,Garza,1996/01/20,15,2018/11/02,32,1972,NH
John,Jones,1985/08/20,16,2018/03/23,45,1971,GA
Joshua,Davis,1998/02/15,9,2018/01/25,62,1987,ND
Rachel,Edwards,1998/01/07,20,2018/11/08,98,2018,LA
Charles,Turner,1964/06/15,16,2018/06/07,94,1999,SD
William,Baker,1986/01/31,12,2018/03/11,30,2004,RI
Elizabeth,Walter,1970/02/24,17,2018/11/06,58,2004,UT
Ellen,Evans,1984/02/14,7,2018/09/30,81,2010,AK
Jessica,Frazier,1988/11/10,16,2018/06/16,37,1998,OH
Deborah,Williams,1989/06/12,14,2018/04/12,50,1987,IN
Eugene,Smith,1985/02/22,13,2018/05/06,37,2011,ID
Melanie,Williams,1990/08/28,0,2018/06/14,40,2008,LA
Darren,Sanchez,1993/03/10,3,2018/01/26,99,1989,HI
Amber,Holmes,1995/03/13,20,2018/06/05,82,1999,OR
Nicholas,Hanson,1977/02/15,3,2018/11/10,47,1990,IN
Deborah,Soto,1981/08/14,1,2018/12/01,54,1996,AZ
Brandon,Perkins,1977/07/08,18,2018/04/25,59,1983,KS
Stanley,Blanchard,1977/01/16,17,2018/03/08,87,1998,PA
Andrea,Brown,1992/04/27,1,2018/05/30,87,2012,MN
David,Martinez,1983/03/24,15,2018/11/14,69,1972,NC
Michelle,Sandoval,1968/05/07,15,2019/01/02,94,1990,FL
Katherine,Martinez,1984/09/28,12,2018/07/22,63,1980,GA
Amanda,Hill,1993/02/09,16,2018/10/27,58,1985,GA
Judy,Williams,1976/06/20,19,2018/06/09,66,1990,NV
Alejandro,Silva,1995/09/14,0,2018/12/12,48,1997,OH
Rachel,Webb,1988/01/25,14,2018/08/26,81,1989,ID
Jessica,Downs,1970/03/10,13,2018/09/25,95,1991,MO
Crystal,Bryan,1964/05/01,2,2018/10/09,52,1996,NV
Marc,Mejia,1969/03/11,12,2018/04/14,82,1994,NE
Alyssa,Martinez,1984/06/30,19,2018/05/28,58,2016,MD
Danny,Copeland,1975/05/12,19,2018/04/02,71,2011,NM
Daniel,Johnson,1966/04/09,16,2018/02/20,55,1997,NE
Teresa,Garcia,1975/07/09,3,2018/03/09,74,2007,AL
Ashley,Rivera,1990/10/03,3,2018/07/13,44,1970,OR
Brian,Martinez,1976/09/05,3,2018/06/10,71,1982,TX
Elizabeth,Jones,1977/04/02,16,2018/09/18,75,1992,MT
Jennifer,Steele,1990/05/14,12,2018/07/08,74,1991,OH
Margaret,Freeman,1967/11/16,8,2018/06/14,56,1992,ND
Morgan,Evans,1998/06/06,19,2018/03/07,67,1991,CO
Nathan,Gonzalez,1971/11/16,14,2018/06/05,32,1981,NH
James,Clark,1985/12/20,13,2018/10/05,56,1978,SC
Wesley,Anderson,1976/01/14,13,2018/03/13,95,1975,HI
Michael,Cordova,1961/04/14,0,2018/12/08,81,1975,RI
Nathan,Brown,1983/12/02,4,2018/03/28,96,1985,ID
Jacqueline,Wilson,1982/01/19,3,2018/02/25,69,1997,MT
Cassandra,Jones,1986/03/08,18,2018/12/24,38,2009,DC
Tony,Woods,1966/12/23,19,2018/09/05,64,1992,SC
Joseph,Chen,1960/04/23,12,2018/11/13,67,2014,WI
Catherine,Adkins,1966/03/26,14,2018/08/10,65,2012,VT
Miguel,Smith,1974/11/24,8,2018/10/30,63,1973,SC
Francisco,Vasquez,1992/12/13,19,2018/12/26,55,2015,NM
Carrie,Garcia,1964/09/11,17,2018/07/08,52,1971,DE
Gina,Clark,1989/06/04,19,2018/02/12,64,1975,NV
Victor,Williams,1984/03/06,14,2018/08/03,69,2018,WY
William,Reid,1964/03/06,9,2018/12/27,72,1996,WI
Kimberly,Williams,1987/04/27,13,2018/06/15,91,1975,SC
Samantha,Reed,1989/01/28,4,2018/12/07,93,2014,DC
Lindsey,Morris,1969/08/01,0,2018/10/03,70,2010,MA
Hannah,Robinson,1982/04/24,15,2018/09/19,83,1999,DE
Jennifer,Thompson,1985/11/16,12,2018/06/15,75,2008,CT
Tammy,Jones,1973/01/24,7,2018/11/30,70,2010,LA
Theresa,Stark,1959/10/22,7,2018/03/29,33,2002,MS
Shelly,Torres,1969/03/31,18,2018/11/29,46,2011,MA
Brooke,Mason,1966/07/18,19,2018/02/24,36,2011,NC
Denise,Peters,1970/08/14,17,2018/03/07,48,2008,NM
Samuel,Martin,1987/05/11,10,2018/04/15,60,1977,GA
Joseph,Wallace,1993/08/19,2,2018/05/14,85,1990,HI
Lori,Ward,1976/08/04,19,2018/09/27,57,2006,NE
Juan,Nixon,1990/12/28,15,2018/03/23,54,2000,SC
Diana,Farrell,1973/08/14,16,2018/05/14,87,1995,ME
Jennifer,Glass,1981/03/18,18,2018/02/13,70,1984,HI
Christopher,Jones,1974/05/17,8,2018/06/10,67,2013,MD
Patricia,King,1980/10/25,4,2018/03/30,45,2009,CA
Justin,Nguyen,1995/10/11,15,2018/06/02,93,2008,WY
Kenneth,Gibson,1988/10/24,1,2018/09/10,65,1976,CO
Jennifer,Mitchell,1963/01/20,17,2018/05/27,32,2009,ND
Christian,Grimes,1988/01/20,8,2018/06/22,94,2009,MD
Amanda,Freeman,1974/11/13,17,2018/04/17,42,1975,OK
James,Hart,1966/10/14,16,2018/07/25,49,1999,DE
David,Martin,1984/06/23,8,2018/07/21,44,1999,DE
Terri,White,1968/09/02,9,2018/01/12,84,1987,UT
Luis,Nelson,1961/08/07,13,2018/02/09,38,2005,CA
Amanda,Smith,1972/06/16,11,2018/04/29,71,2003,UT
Tina,Torres,1977/04/02,10,2018/08/18,62,2008,PA
Michael,Russell,1994/07/22,7,2018/12/23,90,2011,AL
Sharon,Miller,1992/07/10,2,2018/09/26,70,2001,IN
Robert,Williams,1959/10/31,10,2018/05/15,85,2004,DC
Tiffany,Robinson,1987/08/29,6,2018/05/23,43,1972,NH
Nina,Baldwin,1989/10/13,9,2018/02/03,94,2008,MI
Jasmine,Beasley,1959/04/29,6,2018/05/29,66,2015,CA
Raymond,Norman,1965/08/03,13,2018/07/22,47,1973,NJ
Teresa,Stevens,1972/04/29,12,2018/06/21,73,2010,OR
Danielle,Reynolds,1971/07/09,8,2018/02/26,35,1993,TX
Gerald,Wilson,1964/12/11,1,2018/02/02,68,1971,MS
Paige,Carroll,1972/06/30,19,2018/02/18,78,2000,NJ
Jacob,Robinson,1963/01/08,7,2018/03/23,67,1971,KY
Stephanie,Chan,1978/02/05,4,2018/08/30,59,1974,MD
Matthew,Snyder,1992/03/22,9,2018/04/17,92,1983,MO
Thomas,Carrillo,1982/03/24,18,2018/02/23,79,1972,CO
Linda,Greene,1984/10/28,15,2018/02/28,80,1984,PA
Carol,Holder,1987/06/07,5,2018/04/26,31,2005,IL
Andrew,Miller,1977/12/25,11,2018/10/31,89,1990,IL
Amy,Le,1981/01/19,0,2018/09/11,51,1970,MS
Alexander,Wells,1979/01/14,5,2018/10/02,70,1979,ME
Derek,Wood,1960/09/21,12,2018/05/05,90,1991,ME
John,Scott,1967/08/02,16,2018/08/11,71,1971,IA
Joshua,Green,1965/04/04,2,2018/05/16,43,2017,UT
Phillip,Nicholson,1963/12/09,15,2018/04/06,77,1992,TN
Emily,Watson,1988/08/02,7,2018/05/24,36,2013,OH
Ashlee,Ellison,1987/10/02,3,2018/05/31,60,1994,IN
Timothy,Petersen,1993/07/24,14,2018/02/25,50,1973,NH
Edgar,Hernandez,1995/10/20,16,2018/01/11,96,2015,UT
Michael,Collins,1996/01/21,5,2018/02/18,61,2008,IN
Stephanie,Holland,1965/02/28,13,2018/06/07,40,1995,DE
Janice,Reed,1990/07/01,13,2018/03/26,40,1972,MS
Amy,Ford,1990/05/23,14,2018/07/29,50,1979,OR
Sarah,Johnson,1963/01/02,11,2018/03/15,80,1976,OH
David,Henderson,1987/08/05,12,2018/10/08,44,1992,CO
Hannah,Davis,1970/06/03,10,2018/10/04,41,1997,MO
John,Lane,1971/08/27,9,2018/05/07,39,2004,NM
Sara,Gibson,1983/11/16,11,2018/03/22,34,1996,CT
David,Mckenzie,1995/01/14,18,2018/10/30,85,1975,WA
April,Melton,1978/07/05,6,2018/01/29,77,1973,VA
Alexandra,Burke,1997/09/25,0,2018/06/14,60,2002,MT
Carrie,Smith,1984/01/20,15,2018/09/10,88,1986,TX
Brandon,Stone,1993/10/21,2,2018/07/04,68,1984,MI
Leslie,Mcgrath,1975/06/19,20,2018/03/17,89,2006,IL
Monica,Hull,1973/07/08,17,2018/03/18,70,1990,OK
Rachel,Webster,1979/12/08,2,2018/10/19,47,1998,ME
Shawn,Jacobs,1982/02/08,14,2018/03/13,69,1996,DC
Robert,Cohen,1995/04/08,15,2018/10/10,75,2005,OH
Deanna,Mays,1980/02/26,15,2018/12/21,33,1995,SD
Karla,Clark,1964/10/06,19,2018/11/13,40,2004,MA
Shane,Bryant,1974/05/07,19,2018/01/09,35,1990,MO
John,Richards,1974/04/04,6,2018/06/11,61,1985,DC
Anita,Cook,1971/04/09,14,2018/08/20,49,2003,CO
Rebecca,Johnson,1971/08/02,0,2018/02/25,88,1988,MA
Brandi,Rogers,1966/09/03,12,2018/06/04,44,2009,MI
James,Castillo,1979/05/26,14,2018/11/20,51,1987,MI
Kayla,Murillo,1973/10/08,20,2018/12/04,89,1970,AR
Sheila,Smith,1993/08/23,11,2018/09/07,91,1976,DE
Kimberly,Simmons,1976/12/19,15,2018/01/13,37,2002,MO
Henry,Jones,1966/10/21,15,2018/07/02,59,2000,TX
Donald,Wolf,1981/08/25,15,2018/04/30,59,1973,OK
Amy,Martin,1993/09/21,1,2018/02/24,78,1995,LA
Stephen,Turner,1968/10/26,3,2018/02/08,63,1989,ME
Stephanie,Aguirre,1981/04/02,1,2018/04/18,87,1996,NJ
Adam,Nguyen,1985/05/26,15,2018/10/04,74,2008,OR
Ashley,Delgado,1977/07/13,13,2018/09/02,97,2003,MS
Kelly,Nguyen,1970/10/11,10,2018/02/01,81,1983,MO
David,Harrison,1997/10/12,15,2018/08/29,31,1996,NJ
Kari,Roberts,1965/12/29,5,2018/07/06,30,1979,KY
Bryan,Richardson,1982/12/15,14,2018/05/13,69,2000,DE
Lydia,Santana,1987/04/28,5,2018/10/28,72,1997,MS
William,Weber,1972/02/26,2,2018/07/02,98,1981,AL
Rick,Tyler,1994/07/26,14,2018/03/14,34,2017,NY
Patrick,Hill,1973/08/02,19,2018/06/09,33,1981,SC
Michael,Sullivan,1961/12/21,13,2018/05/17,85,2011,WA
Lisa,Thomas,1991/06/20,2,2018/08/02,35,2018,ID
William,Gibson,1998/07/25,14,2018/03/01,78,2005,ID
Catherine,Bond,1974/06/06,0,2018/03/21,99,2010,MO
Ronald,Ramos,1978/10/09,1,2018/02/14,79,1981,MO
Bethany,Marshall,1996/04/17,17,2018/03/10,85,2015,OH
Katie,Knight,1978/05/16,6,2018/09/16,72,2017,CT
Angela,Elliott,1977/05/21,11,2018/06/25,84,2011,FL
Lisa,Christensen,1998/04/25,10,2018/07/13,59,2017,SD
Jean,Sosa,1992/07/02,1,2018/09/20,55,2014,CA
Anthony,Gordon,1961/11/02,12,2018/10/07,35,1980,NY
Jerry,Owens,1969/06/26,12,2018/11/27,41,2001,WY
Christopher,Johnson,1993/07/06,3,2018/03/30,77,2012,NV
Nicholas,Jensen,1986/03/30,19,2018/02/20,66,1979,SC
Crystal,Sherman,1962/02/14,5,2018/01/15,65,2018,HI
Charles,Griffin,1969/10/25,7,2018/03/09,35,2001,IL
Linda,Rodriguez,1985/05/16,17,2018/05/04,41,1980,NH
Kevin,Montes,1973/08/06,19,2018/08/30,46,2016,MT
David,Moran,1984/09/30,14,2018/06/19,97,2014,LA
Roberto,Oneal,1995/03/20,9,2018/06/26,64,1992,GA
Kaylee,Henry,1960/11/30,18,2018/05/12,50,1971,WY
Valerie,Madden,1998/10/08,3,2018/05/30,46,1974,NH
Nicole,Le,1984/04/11,4,2018/12/01,71,2017,CO
Lauren,Flowers,1983/09/13,5,2018/07/17,85,1989,TX
Susan,Morse,1972/02/28,16,2018/03/04,45,2002,MN
Travis,Baldwin,1997/10/03,14,2018/05/04,50,2007,SD
Ronald,Johnson,1982/01/03,10,2018/08/07,32,2015,KY
Renee,Perez,1998/03/31,18,2018/01/20,56,2005,IL
James,Lee,1967/09/11,11,2018/04/30,96,1986,HI
April,Ingram,1989/05/09,0,2018/08/22,99,1972,TX
Kevin,Madden,1991/12/26,6,2018/05/24,88,1972,NM
Melinda,Reid,1993/10/28,14,2019/01/06,90,1971,OR
Christine,Roberts,1973/06/19,2,2018/08/20,55,1990,CO
Jacqueline,Wilson,1988/10/04,16,2018/05/08,47,2004,GA
William,Gonzalez,1984/05/02,15,2018/03/23,53,2005,IL
Sarah,Myers,1988/05/10,4,2018/10/24,58,1992,OR
Martin,Haynes,1973/04/29,2,2018/01/18,33,1974,WA
Victor,Blair,1989/05/04,0,2018/12/26,72,1988,GA
Steven,Spencer,1965/10/28,16,2018/04/18,77,1998,NY
Gary,Brown,1986/07/15,1,2018/03/31,42,1977,MA
Joanna,Edwards,1995/10/11,17,2018/07/04,64,2015,CT
Eduardo,Barnett,1963/02/15,5,2018/01/22,57,2008,AK
Sheena,Mendoza,1995/03/29,10,2018/04/03,82,2004,ND
Susan,Munoz,1979/06/29,6,2018/07/26,48,2008,TX
Jonathan,Golden,1964/02/08,1,2018/02/11,56,2005,MN
Brian,Anderson,1978/05/13,5,2018/08/30,96,1972,MN
Valerie,Mendoza,1998/10/28,3,2018/01/15,56,1974,DE
Katherine,Horton,1984/03/28,1,2018/02/12,54,2016,MO
Paul,Diaz,1961/01/02,4,2018/01/21,83,2016,IA
Robert,Potts,1983/11/16,19,2018/09/17,91,2011,TX
Michael,Villegas,1980/08/24,19,2018/05/04,64,1972,CT
Ashley,Burton,1985/11/05,18,2018/12/18,91,2001,KY
Rebecca,Castillo,1991/01/13,14,2018/12/30,49,1975,TX
Stephanie,Duncan,1962/05/18,1,2018/02/27,62,1987,IL
David,Singh,1961/07/16,6,2018/05/02,93,1992,SC
Ashley,Valentine,1960/10/08,18,2018/01/18,65,2002,IN
Christopher,Rodriguez,1976/10/20,20,2018/12/02,99,1992,CA
Lisa,Stewart,1969/06/11,15,2018/12/14,76,2011,MI
Lisa,Craig,1975/07/13,3,2018/11/24,38,1992,NV
Timothy,Garcia,1998/02/09,16,2018/01/10,63,1999,LA
Sarah,Olson,1965/02/17,9,2018/04/18,98,1976,TN
Nichole,Flowers,1971/01/26,7,2018/11/30,97,1982,WI
Jennifer,Brown,1965/10/29,6,2018/12/12,39,1998,MI
Michelle,Sanford,1972/05/01,2,2018/02/23,38,1970,TN
Mary,George,1977/10/02,3,2018/12/13,99,2014,OH
Steven,Campbell,1966/09/12,14,2018/01/14,70,2010,PA
Laura,Erickson,1959/02/01,19,2018/09/07,53,1993,ME
Randy,Jones,1975/07/07,5,2018/12/16,30,2004,SD
Christian,Cruz,1964/06/12,9,2018/03/29,66,1992,HI
John,Lee,1996/10/25,16,2018/02/19,77,2016,ME
Sara,Holloway,1961/10/29,12,2018/11/12,58,1978,RI
Douglas,Dillon,1986/05/19,8,2018/02/19,75,2004,PA
Terri,Livingston,1966/12/29,20,2018/08/20,66,2011,PA
John,Mitchell,1963/05/04,5,2018/09/25,30,2016,PA
Danielle,Lin,1989/10/25,7,2018/10/25,60,2005,RI
Chase,Larson,1959/04/01,15,2018/08/06,44,1983,UT
Holly,Hamilton,1991/11/10,16,2018/03/19,77,1982,NC
Marc,Lucas,1992/10/12,18,2018/09/08,61,2015,IL
Joshua,Huffman,1967/05/08,17,2018/06/26,39,1973,VT
Barbara,Peterson,1965/10/24,18,2018/02/18,77,1981,OR
Melissa,Clark,1980/09/20,1,2018/05/04,95,2001,AZ
Julie,Austin,1974/01/20,16,2018/11/12,42,1973,KS
William,Romero,1967/08/24,10,2018/02/19,71,1998,MD
Latasha,Mccoy,1997/10/03,1,2018/04/28,58,1982,HI
Megan,Wagner,1975/04/06,17,2018/12/21,62,1975,VT
Anna,Dyer,1976/10/01,7,2018/01/20,69,2018,TN
Kenneth,Miller,1993/01/22,10,2018/02/19,90,2017,WY
Kimberly,Gomez,1959/08/09,11,2018/05/07,45,1973,KY
William,Martin,1990/08/07,1,2018/12/17,31,1971,HI
Douglas,Graham,1961/07/22,15,2018/02/18,76,2007,AZ
Charles,Johnston,1969/01/07,18,2018/04/10,45,2018,AL
Nicole,Duarte,1984/06/29,12,2018/03/13,65,2017,MS
Tyler,Moore,1961/05/30,9,2018/11/10,44,2015,NV
Matthew,Jenkins,1987/05/11,11,2018/01/11,72,1993,PA
Amanda,Ward,1997/11/13,4,2018/04/27,83,1977,WI
Adam,Long,1967/09/10,19,2018/04/19,91,1978,MT
Alan,Carey,1974/03/31,20,2018/07/19,83,1986,NH
Meghan,Lambert,1974/07/17,7,2018/06/19,75,1975,HI
Frank,Price,1962/07/10,16,2018/09/04,85,2011,TX
Angela,Christian,1982/08/01,10,2018/07/10,34,2009,AL
Karen,Morales,1994/12/22,18,2019/01/04,92,1978,AK
Kathryn,Jones,1961/08/06,2,2018/08/16,44,1993,NY
Gloria,Bryant,1992/06/05,12,2018/01/20,50,2000,FL
James,Arnold,1983/06/08,3,2018/09/02,59,2010,AZ
Kyle,Lewis,1959/12/16,4,2018/07/28,95,1980,NC
Anthony,Moore,1964/10/12,14,2018/10/15,68,1991,NC
Arthur,White,1987/05/09,12,2018/08/16,48,2003,DE
Tracy,Patel,1969/07/18,6,2018/05/28,41,2018,VT
Lori,Smith,1976/10/16,13,2018/05/03,32,1978,MD
Jeffery,Blankenship,1993/03/27,16,2018/07/11,52,1977,VA
Michael,Wilson,1996/12/23,17,2018/02/09,76,1970,MS
Jennifer,Henson,1967/02/25,16,2018/12/25,72,2018,AR
Joshua,Mcdaniel,1987/05/15,20,2018/03/23,58,1985,OK
Ricardo,Glenn,1989/01/28,5,2018/09/25,39,2013,ID
Eric,Lloyd,1962/01/27,6,2018/07/15,39,1997,WV
Sean,Williams,1965/03/13,14,2018/02/15,46,1988,NM
David,Johnson,1964/05/13,4,2018/05/27,67,1977,NY
David,Owens,1991/04/04,2,2018/09/26,34,2001,AL
Virginia,Cochran,1965/09/15,5,2018/03/26,71,1981,IA
Megan,Carter,1972/08/22,13,2018/11/15,86,2011,IN
Danielle,Turner,1982/10/05,13,2018/02/16,37,2005,AK
Lindsay,Goodwin,1974/05/16,6,2018/04/24,48,2009,AR
Michael,Hayes,1960/08/18,1,2018/06/30,51,2013,NJ
Daniel,Lara,1977/03/29,19,2018/07/18,96,1984,KY
Jamie,Johnson,1989/08/21,9,2018/06/24,58,1998,SC
Matthew,Campbell,1969/02/06,0,2018/07/30,44,2009,NH
Mia,Robbins,1990/01/02,16,2018/07/17,99,2014,WY
Marie,Richardson,1980/05/05,15,2018/06/03,76,2011,TN
Andrew,Jenkins,1959/01/10,3,2019/01/03,90,1973,LA
Ashley,Schmidt,1981/02/24,12,2018/04/28,51,1972,IN
Holly,Cervantes,1991/12/20,8,2018/11/26,88,2001,NC
Roger,Edwards,1965/11/17,13,2018/06/14,40,1975,UT
Miranda,Hernandez,1985/10/13,5,2018/06/15,80,2006,CT
Randy,Howell,1988/05/07,8,2018/09/07,91,1977,MD
Sonya,Bell,1961/06/10,17,2018/11/02,36,2013,DE
Bonnie,Jones,1996/04/09,20,2018/11/18,65,2000,NV
Roy,Wells,1976/07/16,15,2018/04/19,60,2005,MI
Mary,Baker,1994/09/06,3,2018/10/04,79,1994,AK
Logan,Shaw,1983/06/22,11,2018/09/26,49,1991,NH
Brittney,Clark,1974/08/24,3,2018/11/29,57,1972,KY
Charles,Garcia,1959/09/21,1,2018/02/17,64,1980,HI
Jill,Norris,1965/08/30,4,2018/07/20,56,1983,VA
Tracy,Todd,1998/05/03,8,2018/04/05,44,1988,TN
Keith,Novak,1960/11/14,14,2018/05/11,97,2002,TX
Stanley,Williams,1981/05/22,15,2018/06/07,88,2008,NY
Brett,Sanders,1967/11/12,15,2018/01/21,91,2009,OR
Raven,Jenkins,1992/06/25,7,2018/11/16,73,2014,HI
Karen,Castaneda,1962/09/15,4,2018/08/07,33,1994,MI
Sally,Zimmerman,1962/12/09,10,2018/08/01,94,1991,VT
Jennifer,Mcconnell,1991/05/05,17,2018/02/03,40,2002,NM
Brittney,Morgan,1978/03/29,16,2018/12/27,79,1983,NH
Justin,Mckee,1988/03/05,8,2018/08/12,66,2011,WV
Stacy,Horn,1980/04/23,7,2018/02/14,45,1970,MO
Sandra,Torres,1962/01/31,2,2018/08/31,75,1983,TX
Jennifer,Beck,1994/12/31,1,2018/12/24,53,1973,NV
Scott,Cunningham,1990/08/24,3,2018/01/21,72,1970,AZ
Barbara,Clark,1965/04/23,10,2018/07/06,83,2014,SD
Bruce,Ward,1982/10/04,9,2018/01/22,58,1970,MS
Laura,Anthony,1965/11/19,17,2018/04/03,33,1999,AR
Mackenzie,Sanders,1996/04/27,13,2018/09/22,88,2016,WY
Tina,Kane,1969/06/03,7,2018/04/08,47,2005,WY
Karen,Stanley,1976/08/07,20,2018/03/17,53,1992,OK
Stacey,Hogan,1994/07/16,16,2018/08/27,71,1984,MD
Shawn,Warner,1996/01/28,8,2018/10/11,79,1983,NY
Traci,Bean,1964/01/18,0,2018/10/08,84,1985,KY
Sarah,Mcclure,1979/03/05,4,2018/03/04,32,1983,DC
Lauren,Taylor,1965/06/06,20,2018/10/14,83,2003,LA
